ID  объявления,Адрес,Дом,Парковка,Цена,Ремонт,"Площадь комнат, м2",Балкон,Окна,Санузел,Можно с детьми/животными,Дополнительно,Название ЖК,Серия дома,"Высота потолков, м",Лифт,Мусоропровод,пропуски,Количество_комнат,Описание_комнат,Название метро,Время_мин,Тип_транспорта,Общая_площадь,Жилая_площадь,Площадь_кухни
274978447,"Москва, Осенний бульвар, 20К1","5/17, Панельный",,"47000.0 руб./ За месяц, Залог - 47000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,,Лоджия (1),Во двор,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Посудомоечная машина, Холодильник, Интернет",,,2.64,Пасс (2),Да,5,1,Обычная,м. Крылатское,7.0,пешком,37.0,20.0,9.0
274965928,"Москва, улица Теплый Стан, 5к4","8/14, Панельный",,"45000.0 руб./ За месяц, Залог - 45000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,,Балкон (1),На улицу,Совмещенный (1),,"Мебель на кухне, Душевая кабина, Стиральная машина, Холодильник, Интернет",,,2.75,Пасс (2),Да,5,1,Обычная,м. Теплый Стан,8.0,пешком,45.0,15.0,
274847083,"Санкт-Петербург, Московский проспект, 75","3/7, Кирпичный",,"60000.0 руб./ За месяц, Сумма коммунальных платежей - 6000.0 руб., Залог - 60000 руб., Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,16+17,,На улицу и двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Посудомоечная машина, Холодильник",,,,Пасс (1),Да,5,2,Изолированная,м. Фрунзенская,4.0,пешком,57.0,8.0,
274400292,"Москва, Братеевская улица, 18К5","12/16, Панельный",,"67000.0 руб./ За месяц, Залог - 65000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,,Балкон (1),На улицу и двор,"Совмещенный (1), Раздельный (1)",Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,,Пасс (2),Да,5,3,Изолированная,м. Алма-Атинская,2.0,пешком,75.0,40.0,10.0
271844871,"Санкт-Петербург, набережная Реки Мойки, 64","3/5, Кирпичный",наземная,"90000.0 руб./ За месяц, Сумма коммунальных платежей - 6000.0 руб., Залог - 100000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,16-22+35,,Во двор,Совмещенный (2),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,3.3,,,5,3,Оба варианта,м. Адмиралтейская,8.0,пешком,95.0,73.0,10.0
274214649,"Москва, Ключевая улица, 22К1","3/17, Панельный",наземная,"60000.0 руб./ За месяц, Залог - 65000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,,Балкон (1),,,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,2.64,"Пасс (1), Груз (1)",Да,5,2,Изолированная,м. Алма-Атинская,1.0,пешком,55.0,40.0,10.0
274523383,"Москва, улица Академика Павлова, 14","5/5, Кирпичный",наземная,"45000.0 руб./ За месяц, Залог - 45000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,19+12,Балкон (1),Во двор,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет",,,2.48,,,5,2,Смежная,м. Молодежная,19.0,пешком,47.0,31.0,7.0
274777926,"Москва, улица Борисовские Пруды, 34К2","9/14, Панельный",,"28000.0 руб./ За месяц, Залог - 28000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,,"Балкон (1), Лоджия (1)",На улицу и двор,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник",,,2.64,Пасс (2),Да,5,1,Обычная,м. Алма-Атинская,14.0,пешком,40.0,,
267016854,"Санкт-Петербург, Московский проспект, 73к4",9/11,открытая,"38000.0 руб./ За месяц, Сумма коммунальных платежей - 3000.0 руб., Залог - 38000 руб., Срок аренды - На несколько месяцев, Предоплата 1 мес",Евроремонт,20,Лоджия (1),,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",Новомосковский,,,Пасс (1),,5,1,Обычная,м. Фрунзенская,3.0,пешком,42.0,20.0,12.0
224478624,"Москва, Ленинский проспект, 123","14/29, Монолитный",,"50000.0 руб./ За месяц, Залог - 50000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,18-14,Балкон (1),,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Стиральная машина, Холодильник",,,2.8,Пасс (1),Да,5,2,Изолированная,м. Тропарево,6.0,пешком,54.0,32.0,9.5
274665979,"Москва, Осенний бульвар, 15","17/17, Панельный",,"45000.0 руб./ За месяц, Залог - 45000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,20,Лоджия (1),,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон",,,2.64,Пасс (2),Да,5,1,Обычная,м. Крылатское,3.0,пешком,38.0,20.0,9.0
273622837,"Санкт-Петербург, Садовая улица, 88",3/6,открытая,"32000.0 руб./ За месяц, Сумма коммунальных платежей - 3000.0 руб., Залог - 16000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,20,Балкон (1),Во двор,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",,,,Пасс (1),,5,1,Обычная,м. Балтийская,15.0,пешком,40.0,20.0,11.0
274614021,"Москва, улица Ивана Франко, 40К1","3/12, Панельный",,"50000.0 руб./ За месяц, Залог - 50000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",,21,,На улицу,Раздельный (1),Можно с детьми,"Мебель в комнатах, Ванна, Стиральная машина, Интернет",,П55(П55/12),2.7,Пасс (2),,5,1,Обычная,м. Молодежная,17.0,пешком,40.0,21.0,9.0
273491909,"Москва, Ярцевская улица, 24К2","7/25, Монолитно-кирпичный",,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",,,,На улицу,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Интернет","Ярцевская 24, 2017",ПИК-1,2.7,"Пасс (1), Груз (1)",,5,2,Обычная,м. Молодежная,3.0,пешком,47.0,30.0,8.0
272517019,"Москва, Рублевское шоссе, 20К3","12/22, Монолитно-кирпичный",подземная,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",,,Балкон (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Интернет",,КОПЭ(КОПЭ-85),2.6,,,5,3,Оба варианта,м. Молодежная,12.0,пешком,80.0,48.0,10.0
266510270,"Москва, Ленинский проспект, 123","3/22, Блочный",,"55000.0 руб./ За месяц, Залог - 55000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,20-16,Балкон (1),На улицу и двор,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,,Пасс (2),Да,5,2,Обычная,м. Тропарево,,,75.0,36.0,15.0
271613630,"Санкт-Петербург, набережная Реки Фонтанки, 134","4/5, Кирпичный",открытая,"80000.0 руб./ За месяц, Сумма коммунальных платежей - 8000.0 руб., Залог - 80000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,19-24-19,,На улицу,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Стиральная машина, Телевизор, Холодильник, Интернет",,,,Пасс (1),,5,3,Оба варианта,м. Технологический институт,10.0,пешком,86.0,62.0,13.0
274366693,"Санкт-Петербург, Английская набережная, 22","1/3, Кирпичный",открытая,"125000.0 руб./ За месяц, Сумма коммунальных платежей - 8000.0 руб., Залог - 125000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,30-20-30,,Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон",,,4.0,,,5,3,Оба варианта,м. Адмиралтейская,18.0,пешком,173.0,80.0,25.0
274548846,"Москва, Профсоюзная улица, 156К1","4/12, Панельный",,"50000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,18-12,Балкон (1),,,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет",,,2.64,Пасс (1),Да,5,2,Изолированная,м. Теплый Стан,6.0,пешком,45.0,30.0,6.5
274933822,"Санкт-Петербург, улица Парфеновская, 14к1",3/17,,"37000.0 руб./ За месяц, Залог - 37000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,13,Лоджия (1),На улицу,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",ARTквартал. Аквилон,,,"Пасс (1), Груз (1)",,5,1,Обычная,м. Фрунзенская,11.0,пешком,38.0,16.0,
274147509,"Санкт-Петербург, Московский проспект, 73к4","10/11, Монолитный",,"40500.0 руб./ За месяц, Залог - 40500 руб., Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,,"Балкон (1), Лоджия (1)",Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Стиральная машина, Холодильник","Новомосковский, 2015",,,Пасс (2),,5,1,Обычная,м. Фрунзенская,2.0,пешком,39.0,15.0,9.0
272701492,"Москва, Осенний бульвар, 17","24/25, Монолитный",подземная,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",,,Балкон (2),На улицу,"Совмещенный (1), Раздельный (1)",Можно с детьми,"Мебель в комнатах, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Интернет",,индивидуальный проект,,"Пасс (2), Груз (1)",,5,2,Обычная,м. Крылатское,8.0,пешком,107.0,45.0,16.0
270388101,"Москва, Ельнинская улица, 8","10/18, Монолитный",открытая,"50000.0 руб./ За месяц, Залог - 50000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,20,Лоджия (1),На улицу,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник",,,,"Пасс (1), Груз (1)",,5,1,Обычная,м. Молодежная,12.0,пешком,43.0,20.0,10.0
274787417,"Москва, Осенний бульвар, 5К1","4/17, Панельный",,"79000.0 руб./ За месяц, Залог - 79000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",,,Балкон (1),На улицу и двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Ванна, Стиральная машина, Интернет",,п-44,2.6,"Пасс (1), Груз (1)",,5,3,Обычная,м. Крылатское,2.0,пешком,77.0,55.0,12.0
274248651,"Санкт-Петербург, улица Парфеновская, 9к2","4/10, Монолитный",,"35000.0 руб./ За месяц, Сумма коммунальных платежей - 3700.0 руб., Залог - 35000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,17,Балкон (1),Во двор,,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Интернет","Квартал Галактика, 2020",,,Пасс (1),,5,1,Обычная,м. Фрунзенская,,,36.0,17.0,9.0
274065800,"Санкт-Петербург, набережная Реки Фонтанки, 119","4/4, Кирпичный",наземная,"37000.0 руб./ За месяц, Сумма коммунальных платежей - 3000.0 руб., Залог - 37000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,,,Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет",,,3.0,,Нет,5,1,Обычная,м. Садовая,10.0,пешком,42.0,18.0,9.0
233305775,"Москва, Рублевское шоссе, 70к2","5/23, Монолитный",,"55000.0 руб./ За месяц, Залог - 55000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,,,На улицу и двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет","Крылатский, 2017",,,"Пасс (2), Груз (2)",Да,5,2,Смежная,м. Крылатское,10.0,на машине,53.0,20.0,
271960184,"Санкт-Петербург, набережная Реки Фонтанки, 103","4/4, Кирпичный",наземная,"40000.0 руб./ За месяц, Залог - 40000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,,,На улицу,Совмещенный (1),"Можно с детьми, Можно с животными","Душевая кабина, Интернет",,,3.0,Пасс (1),Нет,5,Свободная планировка,Обычная,м. Садовая,7.0,пешком,40.0,25.0,
274990995,"Москва, улица 800-летия Москвы, 5К3","8/9, Панельный",,"30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,20,Балкон (1),,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет",,,,Пасс (1),Да,5,1,Обычная,м. Селигерская,15.0,пешком,40.0,20.0,10.0
274984005,"Москва, Давыдковская улица, 10К5",1/12,наземная,"60000.0 руб./ За месяц, Залог - 60000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,20-18,Лоджия (1),Во двор,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",,,,"Пасс (1), Груз (1)",,5,2,Изолированная,м. Славянский бульвар,5.0,пешком,60.0,38.0,10.0
274775465,"Москва, Кастанаевская улица, 53","4/16, Панельный",открытая,"60000.0 руб./ За месяц, Залог - 60000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,20-13,Лоджия (1),На улицу и двор,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон",,,,"Пасс (1), Груз (1)",,5,2,Изолированная,м. Кунцевская,11.0,пешком,62.0,33.0,14.0
273311722,"Санкт-Петербург, Фермское шоссе, 10",3/10,подземная,"70000.0 руб./ За месяц, Сумма коммунальных платежей - 5000.0 руб., Залог - 70000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,,Лоджия (1),,Раздельный (2),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет",Шведская крона,,,Пасс (1),,5,3,Обычная,м. Удельная,10.0,пешком,86.0,34.0,19.0
274494780,"Москва, улица Сталеваров, 8/22К3","4/9, Блочный",,"37000.0 руб./ За месяц, Залог - 37000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,"14-14,3",,Во двор,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет",,,2.64,Пасс (1),Да,5,2,Изолированная,м. Новогиреево,4.0,на машине,48.5,28.3,5.8
268723088,"Санкт-Петербург, Главная улица, 35Б","7/10, Монолитный",,"35000.0 руб./ За месяц, Сумма коммунальных платежей - 5000.0 руб., Залог - 35000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,18+14,Балкон (2),Во двор,Раздельный (1),Можно с детьми,"Мебель на кухне, Ванна, Интернет",,,,Пасс (1),,5,2,Изолированная,м. Пионерская,4.0,на машине,73.1,32.0,16.0
193861375,"Москва, Саперный проезд, 14К3","2/5, Блочный",,"37000.0 руб./ За месяц, Залог - 37000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,19-10,Балкон (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",,,2.48,,,5,2,Изолированная,м. Новогиреево,12.0,пешком,45.0,29.0,5.5
272103435,"Санкт-Петербург, Ленинский проспект, 109","7/25, Монолитный",,"28000.0 руб./ За месяц, Сумма коммунальных платежей - 4000.0 руб., Залог - 30000 руб., Срок аренды - Длительный, Предоплата 1 мес",Косметический,17,Лоджия (1),,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,,Пасс (3),Да,5,1,Обычная,м. Ленинский проспект,15.0,пешком,44.0,17.0,18.0
273334397,"Санкт-Петербург, Гаккелевская улица, 20к1","5/10, Панельный",,"35000.0 руб./ За месяц, Сумма коммунальных платежей - 5000.0 руб., Залог - 35000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,,Лоджия (1),На улицу,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Телевизор, Холодильник, Интернет",,,,Пасс (1),Да,5,2,Обычная,м. Комендантский проспект,12.0,пешком,56.0,37.0,14.0
261113955,"Санкт-Петербург, улица Оптиков, 37",16/25,наземная,"35000.0 руб./ За месяц, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,,Лоджия (1),На улицу,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет","Морская Звезда, 2019",,2.7,Пасс (2),,5,Свободная планировка,Обычная,м. Комендантский проспект,5.0,на машине,27.0,21.9,
269587215,"Санкт-Петербург, Стародеревенская улица, 22","2/10, Панельный",,"24000.0 руб./ За месяц, Сумма коммунальных платежей - 3500.0 руб., Залог - 24000 руб., Срок аренды - Длительный, Предоплата 1 мес",Косметический,15,Лоджия (1),,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Стиральная машина, Телевизор, Холодильник, Интернет",,,2.6,Пасс (1),Да,5,1,Обычная,м. Комендантский проспект,,,35.5,15.0,8.1
261602303,"Санкт-Петербург, Богатырский проспект, 49к1","7/22, Монолитный",,"23000.0 руб./ За месяц, Сумма коммунальных платежей - 2000.0 руб., Залог - 23000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,,Балкон (1),На улицу,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет","Северная регата, 2011",,,Пасс (3),Да,5,Свободная планировка,Обычная,м. Комендантский проспект,4.0,на машине,25.0,14.0,6.0
274936012,"Санкт-Петербург, проспект Ветеранов, 109к1","11/12, Кирпичный",,"27000.0 руб./ За месяц, Сумма коммунальных платежей - 5500.0 руб., Залог - 27000 руб., Срок аренды - Длительный, Предоплата 1 мес",Косметический,20-15,Лоджия (1),На улицу,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Стиральная машина, Телевизор, Холодильник, Интернет",,,,"Пасс (1), Груз (1)",,5,2,Изолированная,м. Проспект Ветеранов,23.0,на машине,51.0,35.0,9.0
273214640,"Санкт-Петербург, Вербная улица, 12к1","11/12, Кирпичный",наземная,"18000.0 руб./ За месяц, Сумма коммунальных платежей - 6000.0 руб., Залог - 18000 руб., Срок аренды - Длительный, Предоплата 1 мес",Косметический,18,,На улицу,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Посудомоечная машина, Холодильник",,,2.8,"Пасс (1), Груз (1)",,5,1,Обычная,м. Удельная,5.0,на машине,44.0,18.0,10.0
274893826,"Москва, Керамический проезд, 71К1","1/12, Панельный",,"43000.0 руб./ За месяц, Залог - 20000 руб., Коммунальные услуги включены, Срок аренды - На несколько месяцев, Предоплата 1 мес",Евроремонт,,,Во двор,Раздельный (2),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",,,2.64,Пасс (2),Да,5,2,Изолированная,м. Бескудниково,10.0,пешком,52.0,30.0,10.0
274896877,"Москва, Свободный проспект, 11К2","1/9, Панельный",,"35000.0 руб./ За месяц, Залог - 35000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,,,Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,2.64,Пасс (1),Да,5,2,Обычная,м. Новогиреево,17.0,пешком,45.0,7.0,
274868234,"Москва, Дубнинская улица, 20К1","3/9, Панельный",,"50000.0 руб./ За месяц, Залог - 50000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,,Лоджия (1),,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",,,2.64,Пасс (1),Да,5,3,Изолированная,м. Дегунино,13.0,пешком,48.0,,
226842066,"Санкт-Петербург, Дачный проспект, 38К1","5/9, Кирпичный",наземная,"33000.0 руб./ За месяц, Залог - 33000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,,Балкон (1),На улицу,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон",,,,Пасс (1),,5,3,Обычная,м. Проспект Ветеранов,10.0,пешком,62.0,,
273521575,"Санкт-Петербург, аллея Поликарпова, 2","9/18, Монолитный",,"40000.0 руб./ За месяц, Сумма коммунальных платежей - 5000.0 руб., Залог - 40000 руб., Срок аренды - Длительный, Предоплата 1 мес",Косметический,18-14,Лоджия (1),,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,,Пасс (3),Да,5,2,Изолированная,м. Пионерская,6.0,пешком,67.0,32.0,14.0
274871037,"Москва, Керамический проезд, 45К2","8/17, Панельный",,"35000.0 руб./ За месяц, Залог - 10000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,,Балкон (1),Во двор,,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон",,,2.64,"Пасс (2), Груз (1)",Да,5,1,Обычная,м. Дегунино,8.0,пешком,37.8,,
274904453,"Москва, Дубнинская улица, 40АК2","18/30, Монолитный",,"50000.0 руб./ За месяц, Залог - 50000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,,Лоджия (1),,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник","Северный город, 2006",,,Пасс (3),Да,5,1,Обычная,м. Лианозово,11.0,пешком,48.0,34.0,10.0
272133978,"Москва, Саперный проезд, 15","6/9, Панельный",открытая,"38000.0 руб./ За месяц, Залог - 38000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,18-10,Балкон (1),Во двор,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон",,,,Пасс (1),,5,2,Изолированная,м. Новогиреево,10.0,пешком,45.0,28.0,6.0
274035233,"Санкт-Петербург, бульвар Новаторов, 35к2","2/10, Панельный",открытая,"28000.0 руб./ За месяц, Сумма коммунальных платежей - 3000.0 руб., Залог - 28000 руб., Срок аренды - Длительный, Предоплата 1 мес",Косметический,18,Лоджия (1),Во двор,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",,,,Пасс (1),,5,1,Обычная,м. Ленинский проспект,5.0,пешком,45.0,18.0,11.0
274854482,"Москва, Дубнинская улица, 36К4","3/16, Блочный",,"30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,,Лоджия (1),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник",,,,Пасс (2),Да,5,1,Обычная,м. Верхние Лихоборы,10.0,на машине,35.0,20.0,10.0
274967965,"Санкт-Петербург, Богатырский проспект, 58к6","5/10, Панельный",открытая,"21000.0 руб./ За месяц, Сумма коммунальных платежей - 3000.0 руб., Залог - 21000 руб., Срок аренды - Длительный, Предоплата 1 мес",Косметический,20,Лоджия (1),Во двор,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет",,,,Пасс (1),,5,1,Обычная,м. Беговая,15.0,на машине,40.0,20.0,10.0
274897230,"Санкт-Петербург, Богатырский проспект, 60к1",16/17,подземная,"40000.0 руб./ За месяц, Сумма коммунальных платежей - 5000.0 руб., Залог - 40000 руб., Срок аренды - Длительный",Евроремонт,,Балкон (1),,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Стиральная машина, Телевизор, Холодильник, Интернет","Атмосфера, 2009",,,Пасс (1),,5,2,Обычная,м. Беговая,30.0,пешком,64.0,30.0,12.0
267070339,"Санкт-Петербург, Богатырский проспект, 45",6/12,наземная,"30000.0 руб./ За месяц, Сумма коммунальных платежей - 4000.0 руб., Залог - 30000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,,Лоджия (1),Во двор,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон",Amster,,,"Пасс (2), Груз (1)",,5,1,Обычная,м. Комендантский проспект,5.0,на машине,38.0,14.0,16.0
274656624,"Санкт-Петербург, улица Морской Пехоты, 4","4/9, Панельный",,"21000.0 руб./ За месяц, Сумма коммунальных платежей - 2700.0 руб., Залог - 21000 руб., Срок аренды - Длительный, Предоплата 1 мес",Косметический,17.82,,Во двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",,,,Пасс (1),Да,5,1,Обычная,м. Автово,14.0,пешком,32.53,17.8,6.3
274984457,"Санкт-Петербург, проспект Стачек, 46","1/5, Кирпичный",наземная,"21000.0 руб./ За месяц, Сумма коммунальных платежей - 2500.0 руб., Залог - 21000 руб., Срок аренды - Длительный, Предоплата 1 мес",Косметический,16,,Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет",,,2.8,,,5,1,Обычная,м. Нарвская,15.0,пешком,36.0,16.0,8.0
274863953,"Москва, улица Молостовых, 15К5","3/9, Панельный",,"43000.0 руб./ За месяц, Залог - 43000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,,Балкон (1),,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон",,,2.64,Пасс (1),Да,5,2,Изолированная,м. Новогиреево,15.0,пешком,46.0,29.0,7.5
